motor_catalogador.py | imports=['os', 'ast', 'collections'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_button.py | imports=['tkinter', 'sys', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes', 'font', 'image'] | funcoes=23 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_checkbox.py | imports=['tkinter', 'sys', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes', 'font'] | funcoes=22 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_combobox.py | imports=['tkinter', 'sys', 'copy', 'typing', 'core_widget_classes', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes', 'font'] | funcoes=22 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_entry.py | imports=['tkinter', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes', 'font', 'utility'] | funcoes=34 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_frame.py | imports=['typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes'] | funcoes=9 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_label.py | imports=['tkinter', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes', 'font', 'image', 'utility'] | funcoes=16 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_optionmenu.py | imports=['tkinter', 'copy', 'sys', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes', 'core_widget_classes', 'font'] | funcoes=23 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_progressbar.py | imports=['tkinter', 'math', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes', 'typing', 'typing_extensions'] | funcoes=19 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_radiobutton.py | imports=['tkinter', 'sys', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes', 'font'] | funcoes=21 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_scrollable_frame.py | imports=['typing', 'tkinter', 'sys', 'ctk_frame', 'ctk_scrollbar', 'appearance_mode', 'scaling', 'core_widget_classes', 'ctk_label', 'font', 'theme', 'typing', 'typing_extensions'] | funcoes=25 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_scrollbar.py | imports=['sys', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes'] | funcoes=19 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_segmented_button.py | imports=['tkinter', 'copy', 'typing', 'theme', 'font', 'ctk_button', 'ctk_frame', 'utility', 'typing', 'typing_extensions'] | funcoes=22 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_slider.py | imports=['tkinter', 'sys', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes'] | funcoes=21 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_switch.py | imports=['tkinter', 'sys', 'typing', 'core_rendering', 'theme', 'core_rendering', 'core_widget_classes', 'font'] | funcoes=22 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_tabview.py | imports=['tkinter', 'typing', 'theme', 'ctk_frame', 'core_rendering', 'core_rendering', 'core_widget_classes', 'ctk_segmented_button'] | funcoes=24 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\ctk_textbox.py | imports=['tkinter', 'typing', 'core_rendering', 'ctk_scrollbar', 'theme', 'core_rendering', 'core_widget_classes', 'font', 'utility'] | funcoes=64 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\__init__.py | imports=['ctk_button', 'ctk_checkbox', 'ctk_combobox', 'ctk_entry', 'ctk_frame', 'ctk_label', 'ctk_optionmenu', 'ctk_progressbar', 'ctk_radiobutton', 'ctk_scrollbar', 'ctk_segmented_button', 'ctk_slider', 'ctk_switch', 'ctk_tabview', 'ctk_textbox', 'ctk_scrollable_frame'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\appearance_mode\appearance_mode_base_class.py | imports=['typing', 'appearance_mode_tracker'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\appearance_mode\appearance_mode_tracker.py | imports=['tkinter', 'typing', 'darkdetect'] | funcoes=9 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\appearance_mode\__init__.py | imports=['appearance_mode_base_class', 'appearance_mode_tracker'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\core_rendering\ctk_canvas.py | imports=['tkinter', 'sys', 'typing'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\core_rendering\draw_engine.py | imports=['__future__', 'sys', 'math', 'tkinter', 'typing', 'core_rendering'] | funcoes=22 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\core_rendering\__init__.py | imports=['sys', 'ctk_canvas', 'draw_engine'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\core_widget_classes\ctk_base_class.py | imports=['sys', 'warnings', 'tkinter', 'tkinter.ttk', 'typing', None, 'theme', 'font', 'image', 'appearance_mode', 'scaling', 'utility', 'typing', 'typing_extensions'] | funcoes=24 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\core_widget_classes\dropdown_menu.py | imports=['tkinter', 'sys', 'typing', 'theme', 'font', 'appearance_mode', 'scaling'] | funcoes=12 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\core_widget_classes\__init__.py | imports=['dropdown_menu', 'ctk_base_class'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\font\ctk_font.py | imports=['tkinter.font', 'copy', 'typing', 'theme', 'typing', 'typing_extensions'] | funcoes=8 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\font\font_manager.py | imports=['sys', 'os', 'shutil', 'typing', 'ctypes'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\font\__init__.py | imports=['os', 'sys', 'ctk_font', 'font_manager', 'core_rendering'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\image\ctk_image.py | imports=['typing', 'PIL'] | funcoes=11 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\image\__init__.py | imports=['ctk_image'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\scaling\scaling_base_class.py | imports=['typing', 'copy', 're', 'scaling_tracker', 'font', 'typing', 'typing_extensions'] | funcoes=14 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\scaling\scaling_tracker.py | imports=['tkinter', 'sys', 'typing', 'ctypes', 'ctypes'] | funcoes=14 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\scaling\__init__.py | imports=['sys', 'scaling_base_class', 'scaling_tracker'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\theme\theme_manager.py | imports=['sys', 'os', 'pathlib', 'json', 'typing'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\theme\__init__.py | imports=['theme_manager'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\utility\utility_functions.py | imports=[] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\customtkinter\windows\widgets\utility\__init__.py | imports=['utility_functions'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\darkdetect\_dummy.py | imports=['typing'] | funcoes=4 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\darkdetect\_linux_detect.py | imports=['subprocess'] | funcoes=4 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\darkdetect\_mac_detect.py | imports=['ctypes', 'ctypes.util', 'subprocess', 'sys', 'os', 'pathlib', 'typing', 'Foundation', 'PyObjCTools', 'signal'] | funcoes=9 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\darkdetect\_windows_detect.py | imports=['winreg', 'ctypes', 'ctypes.wintypes'] | funcoes=4 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\darkdetect\__init__.py | imports=['sys', 'platform', '_mac_detect', '_dummy', '_windows_detect', '_dummy', '_linux_detect', '_dummy'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\darkdetect\__main__.py | imports=['darkdetect'] | funcoes=0 | classes=0
