motor_catalogador.py | imports=['os', 'ast', 'collections'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\main.py | imports=['locale', 'logging', 'os', 'sys', 'warnings', 'typing', 'pip._internal.cli.autocompletion', 'pip._internal.cli.main_parser', 'pip._internal.commands', 'pip._internal.exceptions', 'pip._internal.utils'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\main_parser.py | imports=['os', 'subprocess', 'sys', 'typing', 'pip._internal.build_env', 'pip._internal.cli', 'pip._internal.cli.parser', 'pip._internal.commands', 'pip._internal.exceptions', 'pip._internal.utils.misc'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\parser.py | imports=['logging', 'optparse', 'shutil', 'sys', 'textwrap', 'contextlib', 'typing', 'pip._internal.cli.status_codes', 'pip._internal.configuration', 'pip._internal.utils.misc'] | funcoes=17 | classes=4
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\progress_bars.py | imports=['functools', 'typing', 'pip._vendor.rich.progress', 'pip._internal.utils.logging'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\req_command.py | imports=['logging', 'os', 'sys', 'functools', 'optparse', 'typing', 'pip._internal.cache', 'pip._internal.cli', 'pip._internal.cli.base_command', 'pip._internal.cli.command_context', 'pip._internal.exceptions', 'pip._internal.index.collector', 'pip._internal.index.package_finder', 'pip._internal.models.selection_prefs', 'pip._internal.models.target_python', 'pip._internal.network.session', 'pip._internal.operations.build.build_tracker', 'pip._internal.operations.prepare', 'pip._internal.req.constructors', 'pip._internal.req.req_file', 'pip._internal.req.req_install', 'pip._internal.resolution.base', 'pip._internal.self_outdated_check', 'pip._internal.utils.temp_dir', 'pip._internal.utils.virtualenv', 'ssl', 'ssl', 'pip._vendor', 'pip._internal.resolution.legacy.resolver', 'pip._internal.resolution.resolvelib.resolver'] | funcoes=17 | classes=3
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\spinners.py | imports=['contextlib', 'itertools', 'logging', 'sys', 'time', 'typing', 'pip._internal.utils.compat', 'pip._internal.utils.logging'] | funcoes=15 | classes=4
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\status_codes.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\cli\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\cache.py | imports=['os', 'textwrap', 'optparse', 'typing', 'pip._internal.cli.base_command', 'pip._internal.cli.status_codes', 'pip._internal.exceptions', 'pip._internal.utils', 'pip._internal.utils.logging'] | funcoes=12 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\check.py | imports=['logging', 'optparse', 'typing', 'pip._internal.cli.base_command', 'pip._internal.cli.status_codes', 'pip._internal.operations.check', 'pip._internal.utils.misc'] | funcoes=1 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\completion.py | imports=['sys', 'textwrap', 'optparse', 'typing', 'pip._internal.cli.base_command', 'pip._internal.cli.status_codes', 'pip._internal.utils.misc'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\configuration.py | imports=['logging', 'os', 'subprocess', 'optparse', 'typing', 'pip._internal.cli.base_command', 'pip._internal.cli.status_codes', 'pip._internal.configuration', 'pip._internal.exceptions', 'pip._internal.utils.logging', 'pip._internal.utils.misc'] | funcoes=14 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\debug.py | imports=['importlib.resources', 'locale', 'logging', 'os', 'sys', 'optparse', 'types', 'typing', 'pip._vendor', 'pip._vendor.certifi', 'pip._vendor.packaging.version', 'pip._internal.cli', 'pip._internal.cli.base_command', 'pip._internal.cli.cmdoptions', 'pip._internal.cli.status_codes', 'pip._internal.configuration', 'pip._internal.metadata', 'pip._internal.utils.logging', 'pip._internal.utils.misc'] | funcoes=11 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\download.py | imports=['logging', 'os', 'optparse', 'typing', 'pip._internal.cli', 'pip._internal.cli.cmdoptions', 'pip._internal.cli.req_command', 'pip._internal.cli.status_codes', 'pip._internal.operations.build.build_tracker', 'pip._internal.req.req_install', 'pip._internal.utils.misc', 'pip._internal.utils.temp_dir'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\freeze.py | imports=['sys', 'optparse', 'typing', 'pip._internal.cli', 'pip._internal.cli.base_command', 'pip._internal.cli.status_codes', 'pip._internal.operations.freeze', 'pip._internal.utils.compat'] | funcoes=4 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\hash.py | imports=['hashlib', 'logging', 'sys', 'optparse', 'typing', 'pip._internal.cli.base_command', 'pip._internal.cli.status_codes', 'pip._internal.utils.hashes', 'pip._internal.utils.misc'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\help.py | imports=['optparse', 'typing', 'pip._internal.cli.base_command', 'pip._internal.cli.status_codes', 'pip._internal.exceptions', 'pip._internal.commands'] | funcoes=1 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\index.py | imports=['logging', 'optparse', 'typing', 'pip._vendor.packaging.version', 'pip._internal.cli', 'pip._internal.cli.req_command', 'pip._internal.cli.status_codes', 'pip._internal.commands.search', 'pip._internal.exceptions', 'pip._internal.index.collector', 'pip._internal.index.package_finder', 'pip._internal.models.selection_prefs', 'pip._internal.models.target_python', 'pip._internal.network.session', 'pip._internal.utils.misc'] | funcoes=4 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\inspect.py | imports=['logging', 'optparse', 'typing', 'pip._vendor.packaging.markers', 'pip._vendor.rich', 'pip', 'pip._internal.cli', 'pip._internal.cli.req_command', 'pip._internal.cli.status_codes', 'pip._internal.metadata', 'pip._internal.utils.compat', 'pip._internal.utils.urls'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\install.py | imports=['errno', 'json', 'operator', 'os', 'shutil', 'site', 'optparse', 'typing', 'pip._vendor.rich', 'pip._internal.cache', 'pip._internal.cli', 'pip._internal.cli.cmdoptions', 'pip._internal.cli.req_command', 'pip._internal.cli.status_codes', 'pip._internal.exceptions', 'pip._internal.locations', 'pip._internal.metadata', 'pip._internal.models.installation_report', 'pip._internal.operations.build.build_tracker', 'pip._internal.operations.check', 'pip._internal.req', 'pip._internal.req.req_install', 'pip._internal.utils.compat', 'pip._internal.utils.filesystem', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'pip._internal.utils.temp_dir', 'pip._internal.utils.virtualenv', 'pip._internal.wheel_builder'] | funcoes=9 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\list.py | imports=['json', 'logging', 'optparse', 'typing', 'pip._vendor.packaging.utils', 'pip._internal.cli', 'pip._internal.cli.req_command', 'pip._internal.cli.status_codes', 'pip._internal.exceptions', 'pip._internal.index.collector', 'pip._internal.index.package_finder', 'pip._internal.metadata', 'pip._internal.models.selection_prefs', 'pip._internal.network.session', 'pip._internal.utils.compat', 'pip._internal.utils.misc', 'pip._internal.metadata.base'] | funcoes=12 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\search.py | imports=['logging', 'shutil', 'sys', 'textwrap', 'xmlrpc.client', 'collections', 'optparse', 'typing', 'pip._vendor.packaging.version', 'pip._internal.cli.base_command', 'pip._internal.cli.req_command', 'pip._internal.cli.status_codes', 'pip._internal.exceptions', 'pip._internal.metadata', 'pip._internal.models.index', 'pip._internal.network.xmlrpc', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'typing'] | funcoes=7 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\show.py | imports=['logging', 'optparse', 'typing', 'pip._vendor.packaging.utils', 'pip._internal.cli.base_command', 'pip._internal.cli.status_codes', 'pip._internal.metadata', 'pip._internal.utils.misc'] | funcoes=5 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\uninstall.py | imports=['logging', 'optparse', 'typing', 'pip._vendor.packaging.utils', 'pip._internal.cli', 'pip._internal.cli.base_command', 'pip._internal.cli.req_command', 'pip._internal.cli.status_codes', 'pip._internal.exceptions', 'pip._internal.req', 'pip._internal.req.constructors', 'pip._internal.utils.misc'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\wheel.py | imports=['logging', 'os', 'shutil', 'optparse', 'typing', 'pip._internal.cache', 'pip._internal.cli', 'pip._internal.cli.req_command', 'pip._internal.cli.status_codes', 'pip._internal.exceptions', 'pip._internal.operations.build.build_tracker', 'pip._internal.req.req_install', 'pip._internal.utils.misc', 'pip._internal.utils.temp_dir', 'pip._internal.wheel_builder'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\commands\__init__.py | imports=['importlib', 'collections', 'typing', 'pip._internal.cli.base_command', 'difflib'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\distributions\base.py | imports=['abc', 'typing', 'pip._internal.index.package_finder', 'pip._internal.metadata.base', 'pip._internal.req'] | funcoes=4 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\distributions\installed.py | imports=['typing', 'pip._internal.distributions.base', 'pip._internal.index.package_finder', 'pip._internal.metadata'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\distributions\sdist.py | imports=['logging', 'typing', 'pip._internal.build_env', 'pip._internal.distributions.base', 'pip._internal.exceptions', 'pip._internal.index.package_finder', 'pip._internal.metadata', 'pip._internal.utils.subprocess'] | funcoes=9 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\distributions\wheel.py | imports=['typing', 'pip._vendor.packaging.utils', 'pip._internal.distributions.base', 'pip._internal.index.package_finder', 'pip._internal.metadata'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\distributions\__init__.py | imports=['pip._internal.distributions.base', 'pip._internal.distributions.sdist', 'pip._internal.distributions.wheel', 'pip._internal.req.req_install'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\index\collector.py | imports=['collections', 'email.message', 'functools', 'itertools', 'json', 'logging', 'os', 'urllib.parse', 'urllib.request', 'html.parser', 'optparse', 'typing', 'pip._vendor', 'pip._vendor.requests', 'pip._vendor.requests.exceptions', 'pip._internal.exceptions', 'pip._internal.models.link', 'pip._internal.models.search_scope', 'pip._internal.network.session', 'pip._internal.network.utils', 'pip._internal.utils.filetypes', 'pip._internal.utils.misc', 'pip._internal.vcs', 'sources', 'typing'] | funcoes=27 | classes=8
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\index\package_finder.py | imports=['enum', 'functools', 'itertools', 'logging', 're', 'typing', 'pip._vendor.packaging', 'pip._vendor.packaging.tags', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._vendor.packaging.version', 'pip._internal.exceptions', 'pip._internal.index.collector', 'pip._internal.models.candidate', 'pip._internal.models.format_control', 'pip._internal.models.link', 'pip._internal.models.search_scope', 'pip._internal.models.selection_prefs', 'pip._internal.models.target_python', 'pip._internal.models.wheel', 'pip._internal.req', 'pip._internal.utils._log', 'pip._internal.utils.filetypes', 'pip._internal.utils.hashes', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'pip._internal.utils.packaging', 'pip._internal.utils.unpacking', 'pip._vendor.typing_extensions'] | funcoes=41 | classes=6
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\index\sources.py | imports=['logging', 'mimetypes', 'os', 'collections', 'typing', 'pip._vendor.packaging.utils', 'pip._internal.models.candidate', 'pip._internal.models.link', 'pip._internal.utils.urls', 'pip._internal.vcs'] | funcoes=25 | classes=6
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\index\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\locations\base.py | imports=['functools', 'os', 'site', 'sys', 'sysconfig', 'typing', 'pip._internal.exceptions', 'pip._internal.utils', 'pip._internal.utils.virtualenv'] | funcoes=4 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\locations\_distutils.py | imports=['logging', 'os', 'sys', 'distutils.cmd', 'distutils.command.install', 'distutils.command.install', 'distutils.sysconfig', 'typing', 'pip._internal.models.scheme', 'pip._internal.utils.compat', 'pip._internal.utils.virtualenv', 'base', 'distutils.dist'] | funcoes=5 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py | imports=['logging', 'os', 'sys', 'sysconfig', 'typing', 'pip._internal.exceptions', 'pip._internal.models.scheme', 'pip._internal.utils.virtualenv', 'base'] | funcoes=8 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\locations\__init__.py | imports=['functools', 'logging', 'os', 'pathlib', 'sys', 'sysconfig', 'typing', 'pip._internal.models.scheme', 'pip._internal.utils.compat', 'pip._internal.utils.deprecation', 'pip._internal.utils.virtualenv', None, 'base', None, 'distutils.command.install', 'distutils.command.install', 'distutils.command.install', 'distutils.command.install', 'distutils.dist', None] | funcoes=18 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\metadata\base.py | imports=['csv', 'email.message', 'functools', 'json', 'logging', 'pathlib', 're', 'zipfile', 'typing', 'pip._vendor.packaging.requirements', 'pip._vendor.packaging.specifiers', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._internal.exceptions', 'pip._internal.locations', 'pip._internal.models.direct_url', 'pip._internal.utils.compat', 'pip._internal.utils.egg_link', 'pip._internal.utils.misc', 'pip._internal.utils.urls', '_json', 'typing'] | funcoes=59 | classes=7
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py | imports=['email.message', 'email.parser', 'logging', 'os', 'zipfile', 'typing', 'pip._vendor', 'pip._vendor.packaging.requirements', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._internal.exceptions', 'pip._internal.utils.egg_link', 'pip._internal.utils.misc', 'pip._internal.utils.wheel', 'base'] | funcoes=31 | classes=4
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\metadata\_json.py | imports=['email.header', 'email.message', 'typing'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\metadata\__init__.py | imports=['contextlib', 'functools', 'os', 'sys', 'typing', 'pip._internal.utils.misc', 'base', 'typing', 'importlib.metadata', None, None] | funcoes=7 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py | imports=['importlib.metadata', 'typing'] | funcoes=6 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py | imports=['email.message', 'importlib.metadata', 'os', 'pathlib', 'zipfile', 'typing', 'pip._vendor.packaging.requirements', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._internal.exceptions', 'pip._internal.metadata.base', 'pip._internal.utils.misc', 'pip._internal.utils.temp_dir', 'pip._internal.utils.wheel', '_compat'] | funcoes=22 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py | imports=['functools', 'importlib.metadata', 'logging', 'os', 'pathlib', 'sys', 'zipfile', 'zipimport', 'typing', 'pip._vendor.packaging.utils', 'pip._internal.metadata.base', 'pip._internal.models.wheel', 'pip._internal.utils.deprecation', 'pip._internal.utils.filetypes', '_compat', '_dists', 'pip._vendor.pkg_resources', 'pip._internal.metadata', 'pip._vendor.pkg_resources', 'pip._internal.metadata'] | funcoes=14 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py | imports=['_dists', '_envs'] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\candidate.py | imports=['pip._vendor.packaging.version', 'pip._internal.models.link', 'pip._internal.utils.models'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\direct_url.py | imports=['json', 're', 'urllib.parse', 'typing'] | funcoes=24 | classes=5
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\format_control.py | imports=['typing', 'pip._vendor.packaging.utils', 'pip._internal.exceptions'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\index.py | imports=['urllib.parse'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\installation_report.py | imports=['typing', 'pip._vendor.packaging.markers', 'pip', 'pip._internal.req.req_install'] | funcoes=3 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\link.py | imports=['functools', 'itertools', 'logging', 'os', 'posixpath', 're', 'urllib.parse', 'dataclasses', 'typing', 'pip._internal.utils.deprecation', 'pip._internal.utils.filetypes', 'pip._internal.utils.hashes', 'pip._internal.utils.misc', 'pip._internal.utils.models', 'pip._internal.utils.urls', 'pip._internal.index.collector', 'pip._internal.vcs'] | funcoes=41 | classes=4
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\scheme.py | imports=[] | funcoes=1 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\search_scope.py | imports=['itertools', 'logging', 'os', 'posixpath', 'urllib.parse', 'typing', 'pip._vendor.packaging.utils', 'pip._internal.models.index', 'pip._internal.utils.compat', 'pip._internal.utils.misc'] | funcoes=5 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\selection_prefs.py | imports=['typing', 'pip._internal.models.format_control'] | funcoes=1 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\target_python.py | imports=['sys', 'typing', 'pip._vendor.packaging.tags', 'pip._internal.utils.compatibility_tags', 'pip._internal.utils.misc'] | funcoes=4 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\wheel.py | imports=['re', 'typing', 'pip._vendor.packaging.tags', 'pip._internal.exceptions'] | funcoes=5 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\models\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\network\auth.py | imports=['logging', 'os', 'shutil', 'subprocess', 'sysconfig', 'typing', 'urllib.parse', 'abc', 'functools', 'os.path', 'pathlib', 'typing', 'pip._vendor.requests.auth', 'pip._vendor.requests.models', 'pip._vendor.requests.utils', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'pip._internal.vcs.versioncontrol', 'keyring'] | funcoes=28 | classes=6
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\network\cache.py | imports=['os', 'contextlib', 'datetime', 'typing', 'pip._vendor.cachecontrol.cache', 'pip._vendor.cachecontrol.caches', 'pip._vendor.requests.models', 'pip._internal.utils.filesystem', 'pip._internal.utils.misc'] | funcoes=10 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\network\download.py | imports=['email.message', 'logging', 'mimetypes', 'os', 'typing', 'pip._vendor.requests.models', 'pip._internal.cli.progress_bars', 'pip._internal.exceptions', 'pip._internal.models.index', 'pip._internal.models.link', 'pip._internal.network.cache', 'pip._internal.network.session', 'pip._internal.network.utils', 'pip._internal.utils.misc'] | funcoes=10 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py | imports=['bisect', 'contextlib', 'tempfile', 'typing', 'zipfile', 'pip._vendor.packaging.utils', 'pip._vendor.requests.models', 'pip._internal.metadata', 'pip._internal.network.session', 'pip._internal.network.utils'] | funcoes=20 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\network\session.py | imports=['email.utils', 'io', 'ipaddress', 'json', 'logging', 'mimetypes', 'os', 'platform', 'shutil', 'subprocess', 'sys', 'urllib.parse', 'warnings', 'typing', 'pip._vendor', 'pip._vendor.cachecontrol', 'pip._vendor.requests.adapters', 'pip._vendor.requests.adapters', 'pip._vendor.requests.models', 'pip._vendor.requests.structures', 'pip._vendor.urllib3.connectionpool', 'pip._vendor.urllib3.exceptions', 'pip', 'pip._internal.metadata', 'pip._internal.models.link', 'pip._internal.network.auth', 'pip._internal.network.cache', 'pip._internal.utils.compat', 'pip._internal.utils.glibc', 'pip._internal.utils.misc', 'pip._internal.utils.urls', 'ssl', 'pip._vendor.urllib3.poolmanager', 'pip._vendor', '_ssl'] | funcoes=14 | classes=7
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\network\utils.py | imports=['typing', 'pip._vendor.requests.models', 'pip._internal.exceptions'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\network\xmlrpc.py | imports=['logging', 'urllib.parse', 'xmlrpc.client', 'typing', 'pip._internal.exceptions', 'pip._internal.network.session', 'pip._internal.network.utils', 'xmlrpc.client', '_typeshed'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\network\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\check.py | imports=['logging', 'typing', 'pip._vendor.packaging.requirements', 'pip._vendor.packaging.specifiers', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._internal.distributions', 'pip._internal.metadata', 'pip._internal.metadata.base', 'pip._internal.req.req_install', 'pip._internal.utils.deprecation'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\freeze.py | imports=['collections', 'logging', 'os', 'typing', 'pip._vendor.packaging.utils', 'pip._vendor.packaging.version', 'pip._internal.exceptions', 'pip._internal.metadata', 'pip._internal.req.constructors', 'pip._internal.req.req_file', 'pip._internal.utils.direct_url_helpers', 'pip._internal.vcs'] | funcoes=6 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\prepare.py | imports=['mimetypes', 'os', 'shutil', 'pathlib', 'typing', 'pip._vendor.packaging.utils', 'pip._internal.distributions', 'pip._internal.distributions.installed', 'pip._internal.exceptions', 'pip._internal.index.package_finder', 'pip._internal.metadata', 'pip._internal.models.direct_url', 'pip._internal.models.link', 'pip._internal.models.wheel', 'pip._internal.network.download', 'pip._internal.network.lazy_wheel', 'pip._internal.network.session', 'pip._internal.operations.build.build_tracker', 'pip._internal.req.req_install', 'pip._internal.utils._log', 'pip._internal.utils.direct_url_helpers', 'pip._internal.utils.hashes', 'pip._internal.utils.logging', 'pip._internal.utils.misc', 'pip._internal.utils.temp_dir', 'pip._internal.utils.unpacking', 'pip._internal.vcs'] | funcoes=21 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py | imports=['contextlib', 'hashlib', 'logging', 'os', 'types', 'typing', 'pip._internal.models.link', 'pip._internal.req.req_install', 'pip._internal.utils.temp_dir'] | funcoes=10 | classes=2
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\build\metadata.py | imports=['os', 'pip._vendor.pyproject_hooks', 'pip._internal.build_env', 'pip._internal.exceptions', 'pip._internal.utils.subprocess', 'pip._internal.utils.temp_dir'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py | imports=['os', 'pip._vendor.pyproject_hooks', 'pip._internal.build_env', 'pip._internal.exceptions', 'pip._internal.utils.subprocess', 'pip._internal.utils.temp_dir'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py | imports=['logging', 'os', 'pip._internal.build_env', 'pip._internal.cli.spinners', 'pip._internal.exceptions', 'pip._internal.utils.setuptools_build', 'pip._internal.utils.subprocess', 'pip._internal.utils.temp_dir'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\build\wheel.py | imports=['logging', 'os', 'typing', 'pip._vendor.pyproject_hooks', 'pip._internal.utils.subprocess'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py | imports=['logging', 'os', 'typing', 'pip._vendor.pyproject_hooks', 'pip._internal.utils.subprocess'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py | imports=['logging', 'os.path', 'typing', 'pip._internal.cli.spinners', 'pip._internal.utils.setuptools_build', 'pip._internal.utils.subprocess'] | funcoes=3 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\build\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\meu_projeto2\venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py | imports=['logging', 'typing', 'pip._internal.build_env', 'pip._internal.utils.logging', 'pip._internal.utils.setuptools_build', 'pip._internal.utils.subprocess'] | funcoes=1 | classes=0
